"Date","Price","Open","High","Low","Change %"
"10/01/2024","10.193","10.458","10.458","10.185","-1.71%"
"09/01/2024","10.370","10.370","10.370","10.370","2.98%"
"08/01/2024","10.070","10.070","10.070","10.070","-0.83%"
"07/01/2024","10.155","10.242","10.347","10.122","-0.85%"
"06/01/2024","10.242","9.974","10.616","9.727","2.69%"
"05/01/2024","9.974","10.451","10.451","9.545","-4.57%"
"04/01/2024","10.451","10.715","10.759","10.392","-2.46%"
"03/01/2024","10.715","10.649","10.779","10.322","0.62%"
"02/01/2024","10.649","12.911","12.911","10.245","-17.52%"
"01/01/2024","12.911","13.771","14.146","12.811","-6.24%"
"12/01/2023","13.771","14.977","15.192","13.732","-8.05%"
"11/01/2023","14.977","15.651","15.651","14.248","-4.31%"
"10/01/2023","15.652","15.734","16.431","15.649","-0.53%"
"09/01/2023","15.736","15.792","17.699","15.524","-0.37%"
"08/01/2023","15.795","17.274","17.275","14.524","-8.56%"
"07/01/2023","17.274","27.944","28.051","16.396","-38.18%"
"06/01/2023","27.944","30.068","30.068","27.424","-7.07%"
"05/01/2023","30.070","31.982","31.983","30.036","-5.98%"
"04/01/2023","31.982","32.190","32.190","27.688","-0.65%"
"03/01/2023","32.190","32.754","34.298","32.093","-1.72%"
"02/01/2023","32.755","28.279","33.793","28.271","15.82%"
"01/01/2023","28.282","28.169","28.285","28.164","0.38%"
"12/01/2022","28.174","26.716","28.525","26.716","5.36%"
"11/01/2022","26.741","25.893","26.741","25.893","3.25%"
"10/01/2022","25.899","23.677","25.899","23.677","9.38%"
"09/01/2022","23.677","23.296","23.790","23.263","1.57%"
"08/01/2022","23.310","22.048","23.310","22.048","5.73%"
"07/01/2022","22.048","21.526","22.417","21.525","2.42%"
"06/01/2022","21.528","21.002","21.528","20.607","2.49%"
"05/01/2022","21.004","17.315","21.979","17.313","21.31%"
"04/01/2022","17.315","12.629","22.121","12.629","37.11%"
"03/01/2022","12.629","9.465","12.629","9.465","29.14%"
"02/01/2022","9.779","9.199","9.779","8.937","6.31%"
"01/01/2022","9.199","8.679","9.512","8.626","5.99%"
"12/01/2021","8.679","8.290","8.679","8.108","4.70%"
"11/01/2021","8.290","8.809","8.809","8.107","-5.89%"
"10/01/2021","8.809","7.016","9.069","6.861","21.52%"
"09/01/2021","7.248","6.498","7.534","6.137","11.54%"
"08/01/2021","6.498","5.780","6.498","5.625","12.44%"
"07/01/2021","5.780","5.388","5.882","5.339","7.27%"
"06/01/2021","5.388","5.381","5.646","5.381","0.12%"
"05/01/2021","5.381","5.685","5.840","5.377","-5.31%"
"04/01/2021","5.683","5.031","5.703","5.031","12.96%"
"03/01/2021","5.031","5.073","5.183","5.031","-0.81%"
"02/01/2021","5.073","5.015","5.174","4.964","1.16%"
"01/01/2021","5.015","5.056","5.058","4.959","-0.82%"
"12/01/2020","5.056","5.088","5.216","4.950","-0.63%"
"11/01/2020","5.088","5.011","5.293","4.909","1.53%"
"10/01/2020","5.011","5.063","5.140","4.960","-1.01%"
"09/01/2020","5.063","4.904","5.191","4.674","3.23%"
"08/01/2020","4.904","4.975","5.131","4.872","-1.42%"
"07/01/2020","4.975","5.276","5.535","4.818","-5.71%"
"06/01/2020","5.276","7.076","7.181","5.275","-25.43%"
"05/01/2020","7.076","7.394","7.394","6.878","-4.31%"
"04/01/2020","7.394","8.009","8.219","7.185","-7.68%"
"03/01/2020","8.009","8.732","9.045","7.698","-8.28%"
"02/01/2020","8.732","8.361","8.993","8.361","3.71%"
"01/01/2020","8.420","8.458","8.733","8.264","-0.46%"
"12/01/2019","8.458","8.215","8.759","8.215","-0.46%"
"11/01/2019","8.498","7.896","8.757","7.896","7.62%"
"10/01/2019","7.896","8.200","8.350","7.750","-3.71%"
"09/01/2019","8.200","8.100","8.400","8.050","1.23%"
"08/01/2019","8.100","8.200","8.300","7.900","-1.22%"
"07/01/2019","8.200","8.650","8.750","8.100","-5.20%"
