"Date","Price","Open","High","Low","Change %"
"10/01/2024","10.821","10.821","10.821","10.821","-0.51%"
"09/30/2024","10.877","10.877","10.877","10.877","-0.10%"
"09/27/2024","10.888","10.888","10.888","10.888","-1.06%"
"09/26/2024","11.005","11.005","11.005","11.005","-2.83%"
"09/25/2024","11.325","11.325","11.325","11.325","-2.08%"
"09/24/2024","11.565","11.300","11.826","11.300","-2.21%"
"09/23/2024","11.826","11.826","11.826","11.826","2.83%"
"09/20/2024","11.501","11.890","11.890","11.890","0.00%"
"09/19/2024","11.501","11.501","11.501","11.501","0.72%"
"09/18/2024","11.419","11.419","11.419","11.419","0.73%"
"09/13/2024","11.336","11.387","11.387","11.387","0.00%"
"09/12/2024","11.336","11.336","11.336","11.336","0.88%"
"09/11/2024","11.237","11.237","11.650","11.237","-0.06%"
"09/10/2024","11.244","11.244","11.244","11.244","0.84%"
"09/09/2024","11.150","11.150","11.150","11.150","0.31%"
"09/06/2024","11.116","11.116","11.116","11.116","-0.05%"
"09/05/2024","11.122","11.250","11.250","11.122","0.31%"
"09/04/2024","11.088","11.088","11.250","11.088","-0.05%"
"09/03/2024","11.094","11.094","11.094","11.094","-0.05%"
"09/02/2024","11.100","11.200","11.200","11.100","0.05%"
"08/30/2024","11.094","11.250","11.250","11.094","0.11%"
"08/29/2024","11.082","11.250","11.250","11.082","-0.01%"
"08/28/2024","11.083","11.083","11.083","11.083","-0.05%"
"08/27/2024","11.088","11.088","11.088","11.088","0.10%"
"08/26/2024","11.077","11.077","11.077","11.077","-0.14%"
"08/23/2024","11.093","11.093","11.093","11.093","-0.11%"
"08/22/2024","11.105","11.105","11.105","11.000","-0.10%"
"08/21/2024","11.116","11.116","11.116","11.116","0.05%"
"08/20/2024","11.110","11.110","11.110","11.110","0.00%"
"08/16/2024","11.110","11.200","11.200","11.110","-1.34%"
"08/15/2024","11.261","10.200","11.261","10.200","2.56%"
"08/14/2024","10.980","10.980","10.980","10.980","0.23%"
"08/13/2024","10.955","11.150","11.150","10.955","0.05%"
"08/12/2024","10.949","10.949","10.949","10.949","-1.36%"
"08/09/2024","11.100","10.948","10.948","10.948","2.63%"
"08/08/2024","10.816","10.816","11.100","10.816","0.69%"
"08/07/2024","10.742","10.742","10.950","10.742","0.56%"
"08/06/2024","10.682","10.682","10.682","10.682","-0.94%"
"08/05/2024","10.783","10.783","11.092","10.783","-0.09%"
"08/02/2024","10.792","10.748","10.934","10.748","0.41%"
"08/01/2024","10.748","10.729","10.748","10.729","0.17%"
"07/31/2024","10.729","10.698","10.729","10.698","0.30%"
"07/30/2024","10.698","10.698","10.698","10.698","0.19%"
"07/29/2024","10.677","10.677","10.677","10.677","0.27%"
"07/26/2024","10.649","10.724","10.724","10.649","0.00%"
"07/25/2024","10.649","10.670","10.670","10.649","-0.33%"
"07/24/2024","10.684","10.716","10.716","10.684","-0.30%"
"07/23/2024","10.716","10.732","10.732","10.716","-0.15%"
"07/22/2024","10.732","10.732","10.732","10.732","0.31%"
"07/19/2024","10.698","10.698","10.776","10.698","-1.51%"
"07/18/2024","10.863","10.670","10.863","10.670","-1.38%"
"07/17/2024","11.014","10.963","11.014","10.963","0.46%"
"07/16/2024","10.964","11.055","11.118","10.964","-1.39%"
"07/15/2024","11.118","11.056","11.118","11.056","0.83%"
"07/12/2024","11.026","10.897","11.026","10.897","1.18%"
"07/11/2024","10.897","10.937","10.937","10.897","-0.37%"
"07/10/2024","10.937","10.937","10.937","10.937","0.00%"
"07/09/2024","10.937","10.929","10.937","10.929","0.07%"
"07/08/2024","10.929","10.929","10.929","10.929","-0.03%"
"07/05/2024","10.933","10.933","10.933","10.933","-0.05%"
"07/04/2024","10.939","10.976","10.976","10.939","-0.34%"
"07/03/2024","10.976","10.973","10.976","10.973","0.03%"
"07/02/2024","10.973","11.035","11.118","10.973","-0.56%"
"07/01/2024","11.035","11.035","11.035","11.035","0.29%"
"06/28/2024","11.002","11.002","11.329","11.002","1.36%"
"06/27/2024","10.854","10.845","10.854","10.845","0.08%"
"06/26/2024","10.846","10.780","10.846","10.780","0.62%"
"06/25/2024","10.780","10.764","10.780","10.764","0.14%"
"06/24/2024","10.764","10.855","10.855","10.764","0.97%"
"06/21/2024","10.661","10.661","10.661","10.661","0.00%"
"06/20/2024","10.661","10.661","10.661","10.661","1.65%"
"06/19/2024","10.488","10.488","10.488","10.488","-0.37%"
"06/18/2024","10.526","10.504","10.526","10.504","0.21%"
"06/17/2024","10.504","10.504","10.504","10.504","0.00%"
"06/14/2024","10.504","10.530","10.696","10.504","-0.24%"
"06/13/2024","10.530","10.491","10.530","10.408","0.36%"
"06/12/2024","10.491","10.421","10.491","10.355","0.67%"
"06/11/2024","10.422","10.424","10.424","10.422","-0.03%"
