"Date","Price","Open","High","Low","Change %"
"05/01/2016","9.700","9.700","9.700","9.700","0.96%"
"04/01/2016","9.608","9.608","9.608","9.608","-1.59%"
"03/01/2016","9.763","9.763","9.763","9.763","19.50%"
"02/01/2016","8.170","8.170","8.170","8.170","12.95%"
"01/01/2016","7.233","7.233","7.233","7.233","4.83%"
"12/01/2015","6.900","6.900","6.900","6.900","7.58%"
"11/01/2015","6.414","6.414","6.414","6.414","-7.46%"
"10/01/2015","6.931","6.931","6.931","6.931","-2.41%"
"09/01/2015","7.102","7.102","7.102","7.102","2.69%"
"08/01/2015","6.916","6.916","6.916","6.916","7.21%"
"07/01/2015","6.451","6.451","6.451","6.451","3.83%"
"06/01/2015","6.213","6.213","6.213","6.213","-0.03%"
"05/01/2015","6.215","6.215","6.215","6.215","-2.03%"
"04/01/2015","6.344","6.344","6.344","6.344","-6.54%"
"03/01/2015","6.788","6.788","6.788","6.788","10.43%"
"02/01/2015","6.147","6.147","6.147","6.147","3.22%"
"01/01/2015","5.955","5.955","5.955","5.955","1.64%"
"12/01/2014","5.859","5.859","5.859","5.859","0.45%"
"11/01/2014","5.833","5.833","5.833","5.833","1.55%"
"10/01/2014","5.744","5.744","5.744","5.744","4.02%"
"09/01/2014","5.522","5.522","5.522","5.522","-12.71%"
"08/01/2014","6.326","6.326","6.326","6.326","-2.59%"
"07/01/2014","6.494","6.494","6.494","6.494","-3.74%"
"06/01/2014","6.746","6.746","6.746","6.746","-0.30%"
"05/01/2014","6.766","6.766","6.766","6.766","-1.11%"
"04/01/2014","6.842","6.842","6.842","6.842","-0.25%"
"03/01/2014","6.859","6.859","6.859","6.859","-0.80%"
"02/01/2014","6.914","6.914","6.914","6.914","-1.79%"
"01/01/2014","7.040","7.040","7.040","7.040","-7.84%"
"12/01/2013","7.639","7.639","7.639","7.639","-13.32%"
"11/01/2013","8.813","8.813","8.813","8.813","-2.52%"
"10/01/2013","9.041","9.041","9.041","9.041","-8.21%"
"09/01/2013","9.850","9.850","9.850","9.850","0.73%"
"08/01/2013","9.779","9.779","9.779","9.779","0.26%"
"07/01/2013","9.754","9.754","9.754","9.754","-0.20%"
"06/01/2013","9.774","9.774","9.774","9.774","-1.82%"
"05/01/2013","9.955","9.955","9.955","9.955","-3.44%"
"04/01/2013","10.310","10.310","10.310","10.310","-0.55%"
"03/01/2013","10.367","10.367","10.367","10.367","2.35%"
"02/01/2013","10.129","10.129","10.129","10.129","-1.11%"
"01/01/2013","10.243","10.243","10.243","10.243","-8.90%"
"12/01/2012","11.244","11.244","11.244","11.244","-7.06%"
"11/01/2012","12.098","12.098","12.098","12.098","0.78%"
"10/01/2012","12.004","12.004","12.004","12.004","-2.06%"
"09/01/2012","12.256","12.256","12.256","12.256","-6.54%"
"08/01/2012","13.114","13.114","13.114","13.114","1.56%"
"07/01/2012","12.913","12.913","12.913","12.913","1.59%"
"06/01/2012","12.711","12.711","12.711","12.711","3.75%"
"05/01/2012","12.252","12.252","12.252","12.252","1.09%"
"04/01/2012","12.120","12.120","12.120","12.120","8.41%"
"03/01/2012","11.180","11.180","11.180","11.180","11.02%"
"02/01/2012","10.070","10.070","10.070","10.070","14.95%"
"01/01/2012","8.760","8.760","8.760","8.760","-1.02%"
"12/01/2011","8.850","8.850","8.850","8.850","3.87%"
"11/01/2011","8.520","8.520","8.520","8.520","15.14%"
"10/01/2011","7.400","7.400","7.400","7.400","1.65%"
"09/01/2011","7.280","7.280","7.280","7.280","0.69%"
"08/01/2011","7.230","7.230","7.230","7.230","0.14%"
"07/01/2011","7.220","7.220","7.220","7.220","-0.41%"
"06/01/2011","7.250","7.250","7.250","7.250","0.55%"
"05/01/2011","7.210","7.210","7.210","7.210","0.42%"
"04/01/2011","7.180","7.180","7.180","7.180","1.13%"
"03/01/2011","7.100","7.100","7.100","7.100","0.00%"
"02/01/2011","7.100","7.100","7.100","7.100","-0.42%"
"01/01/2011","7.130","7.130","7.130","7.130","-3.65%"
"12/01/2010","7.400","7.400","7.400","7.400","-0.27%"
"11/01/2010","7.420","7.420","7.420","7.420","1.92%"
"10/01/2010","7.280","7.280","7.280","7.280","2.82%"
"09/01/2010","7.080","7.080","7.080","7.080","-11.61%"
"08/01/2010","8.010","8.010","8.010","8.010","-8.56%"
"07/01/2010","8.760","8.760","8.760","8.760","-1.90%"
"06/01/2010","8.930","8.930","8.930","8.930","-0.22%"
"05/01/2010","8.950","8.950","8.950","8.950","-1.65%"
"04/01/2010","9.100","9.100","9.100","9.100","-1.19%"
"03/01/2010","9.210","9.210","9.210","9.210","1.54%"
"02/01/2010","9.070","9.070","9.070","9.070","1.80%"
"01/01/2010","8.910","8.910","8.910","8.910","2.30%"
"12/01/2009","8.710","8.710","8.710","8.710","2.96%"
"11/01/2009","8.460","8.460","8.460","8.460","-9.62%"
"10/01/2009","9.360","9.360","9.360","9.360","-12.44%"
"09/01/2009","10.690","10.690","10.690","10.690","-6.72%"
"08/01/2009","11.460","11.460","11.460","11.460","-1.04%"
"07/01/2009","11.580","11.580","11.580","11.580","-5.78%"
"06/01/2009","12.290","12.290","12.290","12.290","-6.33%"
"05/01/2009","13.120","13.120","13.120","13.120","-7.02%"
"04/01/2009","14.110","14.110","14.110","14.110","-13.75%"
"03/01/2009","16.360","16.360","16.360","16.360","-4.05%"
"02/01/2009","17.050","17.050","17.050","17.050","0.00%"
"01/01/2009","17.050","17.050","17.050","17.050","-9.12%"
"12/01/2008","18.760","18.760","18.760","18.760","0.32%"
"11/01/2008","18.700","18.700","18.700","18.700","-1.16%"
