"Date","Price","Open","High","Low","Change %"
"12/01/2018","11.750","11.750","11.750","11.750","-2.08%"
"11/01/2018","12.000","12.000","12.000","12.000","3.45%"
"10/01/2018","11.600","11.600","11.600","11.600","4.04%"
"09/01/2018","11.150","11.150","11.150","11.150","11.72%"
"08/01/2018","9.980","9.980","9.980","9.980","-1.19%"
"07/01/2018","10.100","10.100","10.100","10.100","-3.81%"
"06/01/2018","10.500","10.500","10.500","10.500","0.96%"
"05/01/2018","10.400","10.400","10.400","10.400","1.96%"
"04/01/2018","10.200","10.200","10.200","10.200","0.99%"
"03/01/2018","10.100","10.100","10.100","10.100","-1.46%"
"02/01/2018","10.250","10.250","10.250","10.250","9.04%"
"01/01/2018","9.400","9.400","9.400","9.400","-6.00%"
"12/01/2017","10.000","10.000","10.000","10.000","-1.67%"
"11/01/2017","10.170","10.170","10.170","10.170","-0.39%"
"10/01/2017","10.210","10.210","10.210","10.210","0.77%"
"09/01/2017","10.132","10.132","10.132","10.132","-3.16%"
"08/01/2017","10.463","10.463","10.463","10.463","-2.21%"
"07/01/2017","10.700","10.700","10.700","10.700","-6.25%"
"06/01/2017","11.413","11.413","11.413","11.413","-1.68%"
"05/01/2017","11.608","11.608","11.608","11.608","-1.63%"
"04/01/2017","11.800","11.800","11.800","11.800","-6.35%"
"03/01/2017","12.600","12.600","12.600","12.600","-3.23%"
"02/01/2017","13.020","13.020","13.020","13.020","2.21%"
"01/01/2017","12.738","12.738","12.738","12.738","5.10%"
"12/01/2016","12.120","12.120","12.120","12.120","-0.66%"
"11/01/2016","12.200","12.200","12.200","12.200","3.02%"
"10/01/2016","11.842","11.842","11.842","11.842","8.64%"
"09/01/2016","10.900","10.900","10.900","10.900","-7.82%"
"08/01/2016","11.825","11.825","11.825","11.825","-1.05%"
"07/01/2016","11.950","11.950","11.950","11.950","-0.06%"
"06/01/2016","11.957","11.957","11.957","11.957","-1.65%"
"05/01/2016","12.157","12.157","12.157","12.157","3.79%"
"04/01/2016","11.713","11.713","11.713","11.713","-8.76%"
"03/01/2016","12.838","12.838","12.838","12.838","13.71%"
"02/01/2016","11.290","11.290","11.290","11.290","9.31%"
"01/01/2016","10.328","10.328","10.328","10.328","2.12%"
"12/01/2015","10.114","10.114","10.114","10.114","12.38%"
"11/01/2015","9.000","9.000","9.000","9.000","0.13%"
"10/01/2015","8.988","8.988","8.988","8.988","-7.54%"
"09/01/2015","9.721","9.721","9.721","9.721","3.09%"
"08/01/2015","9.430","9.430","9.430","9.430","12.26%"
"07/01/2015","8.400","8.400","8.400","8.400","0.60%"
"06/01/2015","8.350","8.350","8.350","8.350","0.05%"
"05/01/2015","8.346","8.346","8.346","8.346","-0.44%"
"04/01/2015","8.383","8.383","8.383","8.383","-6.95%"
"03/01/2015","9.009","9.009","9.009","9.009","16.04%"
"02/01/2015","7.764","7.764","7.764","7.764","7.53%"
"01/01/2015","7.220","7.220","7.220","7.220","0.12%"
"12/01/2014","7.211","7.211","7.211","7.211","-1.70%"
"11/01/2014","7.336","7.336","7.336","7.336","-0.11%"
"10/01/2014","7.344","7.344","7.344","7.344","11.51%"
"09/01/2014","6.586","6.586","6.586","6.586","-15.89%"
"08/01/2014","7.830","7.830","7.830","7.830","6.88%"
"07/01/2014","7.326","7.326","7.326","7.326","-15.63%"
"06/01/2014","8.683","8.683","8.683","8.683","-3.10%"
"05/01/2014","8.961","8.961","8.961","8.961","-1.70%"
"04/01/2014","9.116","9.116","9.116","9.116","-1.64%"
"03/01/2014","9.268","9.268","9.268","9.268","4.42%"
"02/01/2014","8.876","8.876","8.876","8.876","-3.85%"
"01/01/2014","9.231","9.231","9.231","9.231","-2.83%"
"12/01/2013","9.500","9.500","9.500","9.500","-14.94%"
"11/01/2013","11.169","11.169","11.169","11.169","2.14%"
"10/01/2013","10.935","10.935","10.935","10.935","-7.23%"
"09/01/2013","11.787","11.787","11.787","11.787","-1.43%"
"08/01/2013","11.958","11.958","11.958","11.958","5.65%"
"07/01/2013","11.318","11.318","11.318","11.318","-0.78%"
"06/01/2013","11.407","11.407","11.407","11.407","2.05%"
"05/01/2013","11.178","11.178","11.178","11.178","-2.31%"
"04/01/2013","11.442","11.442","11.442","11.442","1.21%"
"03/01/2013","11.305","11.305","11.305","11.305","1.01%"
"02/01/2013","11.192","11.192","11.192","11.192","2.21%"
"01/01/2013","10.950","10.950","10.950","10.950","-7.52%"
"12/01/2012","11.841","11.841","11.841","11.841","-5.03%"
"11/01/2012","12.468","12.468","12.468","12.468","-3.27%"
"10/01/2012","12.890","12.890","12.890","12.890","2.10%"
"09/01/2012","12.625","12.625","12.625","12.625","-12.14%"
"08/01/2012","14.370","14.370","14.370","14.370","0.08%"
"07/01/2012","14.358","14.358","14.358","14.358","1.16%"
"06/01/2012","14.194","14.194","14.194","14.194","0.31%"
"05/01/2012","14.150","14.150","14.150","14.150","7.60%"
"04/01/2012","13.150","13.150","13.150","13.150","7.91%"
"03/01/2012","12.186","12.186","12.186","12.186","0.16%"
"02/01/2012","12.167","12.167","12.167","12.167","21.37%"
"01/01/2012","10.025","10.025","10.025","10.025","-0.37%"
"12/01/2011","10.062","10.062","10.062","10.062","-0.51%"
"11/01/2011","10.114","10.114","10.114","10.114","9.22%"
"10/01/2011","9.260","9.260","9.260","9.260","4.57%"
"09/01/2011","8.855","8.855","8.855","8.855","2.28%"
"08/01/2011","8.658","8.658","8.658","8.658","2.64%"
"07/01/2011","8.435","8.435","8.435","8.435","-2.56%"
"06/01/2011","8.657","8.657","8.657","8.657","-4.36%"
"05/01/2011","9.052","9.052","9.052","9.052","-3.30%"
"04/01/2011","9.361","9.361","9.361","9.361","1.33%"
"03/01/2011","9.238","9.238","9.238","9.238","3.18%"
"02/01/2011","8.953","8.953","8.953","8.953","0.21%"
"01/01/2011","8.934","8.934","8.934","8.934","-4.03%"
"12/01/2010","9.309","9.309","9.309","9.309","0.50%"
"11/01/2010","9.263","9.263","9.263","9.263","0.81%"
"10/01/2010","9.189","9.189","9.189","9.189","4.28%"
"09/01/2010","8.812","8.812","8.812","8.812","-2.30%"
"08/01/2010","9.019","9.019","9.019","9.019","-5.61%"
"07/01/2010","9.555","9.555","9.555","9.555","-5.07%"
"06/01/2010","10.065","10.065","10.065","10.065","-1.64%"
"05/01/2010","10.233","10.233","10.233","10.233","-2.22%"
"04/01/2010","10.465","10.465","10.465","10.465","-13.15%"
"03/01/2010","12.050","12.050","12.050","12.050","0.90%"
"02/01/2010","11.942","11.942","11.942","11.942","0.18%"
"01/01/2010","11.920","11.920","11.920","11.920","-0.92%"
"12/01/2009","12.031","12.031","12.031","12.031","10.60%"
"11/01/2009","10.878","10.878","10.878","10.878","9.10%"
"10/01/2009","9.971","9.971","9.971","9.971","-44.89%"
"03/01/2009","18.094","18.094","18.094","18.094","-0.83%"
"02/01/2009","18.245","18.245","18.245","18.245","0.33%"
"01/01/2009","18.185","18.185","18.185","18.185","-7.64%"
"12/01/2008","19.690","19.690","19.690","19.690","0.08%"
"11/01/2008","19.675","19.675","19.675","19.675","1.42%"
"10/01/2008","19.400","19.400","19.400","19.400","9.23%"
"09/01/2008","17.760","17.760","17.760","17.760","5.15%"
"08/01/2008","16.890","16.890","16.890","16.890","0.39%"
"07/01/2008","16.825","16.825","16.825","16.825","0.33%"
"06/01/2008","16.770","16.770","16.770","16.770","0.66%"
"05/01/2008","16.660","16.660","16.660","16.660","-0.42%"
"04/01/2008","16.730","16.730","16.730","16.730","0.87%"
"03/01/2008","16.585","16.585","16.585","16.585","0.27%"
"02/01/2008","16.540","16.540","16.540","16.540","-5.54%"
"01/01/2008","17.510","17.510","17.510","17.510","-3.39%"
"12/01/2007","18.125","18.125","18.125","18.125","3.63%"
"11/01/2007","17.490","17.490","17.490","17.490","8.73%"
"10/01/2007","16.086","16.086","16.086","16.086","-5.82%"
"09/01/2007","17.080","17.080","17.080","17.080","4.64%"
"08/01/2007","16.322","16.322","16.322","16.322","4.11%"
"07/01/2007","15.678","15.678","15.678","15.678","2.32%"
"06/01/2007","15.322","15.322","15.322","15.322","3.80%"
"05/01/2007","14.761","14.761","14.761","14.761","3.76%"
"04/01/2007","14.226","14.226","14.226","14.226","0.79%"
"03/01/2007","14.115","14.115","14.115","14.115","-0.20%"
"02/01/2007","14.143","14.143","14.143","14.143","2.27%"
"01/01/2007","13.829","13.829","13.829","13.829","-2.12%"
"12/01/2006","14.129","14.129","14.129","14.129","5.17%"
"11/01/2006","13.435","13.435","13.435","13.435","-1.02%"
