"Date","Price","Open","High","Low","Change %"
"06/07/2020","6.700","6.750","6.790","6.650","-0.74%"
"05/31/2020","6.750","6.700","6.750","6.700","0.75%"
"05/24/2020","6.700","6.800","6.800","6.680","-0.74%"
"05/17/2020","6.750","6.750","6.800","6.750","0.00%"
"05/10/2020","6.750","6.800","6.800","6.750","-1.46%"
"05/03/2020","6.850","6.800","6.900","6.750","0.74%"
"04/26/2020","6.800","6.900","6.900","6.750","-1.45%"
"04/19/2020","6.900","6.850","7.000","6.800","0.73%"
"04/12/2020","6.850","7.000","7.000","6.750","2.24%"
"04/05/2020","6.700","7.000","7.000","6.700","-4.29%"
"03/29/2020","7.000","7.250","7.250","6.750","-3.45%"
"03/22/2020","7.250","7.300","7.300","7.100","-0.68%"
"03/15/2020","7.300","7.500","7.500","7.250","-2.67%"
"03/08/2020","7.500","7.300","7.550","7.300","2.74%"
"03/01/2020","7.300","7.500","7.500","7.300","-2.67%"
"02/23/2020","7.500","7.550","7.600","7.400","-0.66%"
"02/16/2020","7.550","7.420","7.600","7.400","1.75%"
"02/09/2020","7.420","7.450","7.500","7.350","-0.40%"
"02/02/2020","7.450","7.200","7.500","7.200","3.47%"
"01/26/2020","7.200","7.650","7.800","7.200","-5.88%"
"01/19/2020","7.650","7.650","7.650","7.550","0.00%"
"01/12/2020","7.650","7.500","7.750","7.500","0.66%"
"01/05/2020","7.600","7.500","7.700","7.500","1.33%"
"12/29/2019","7.500","7.650","7.650","7.500","-1.96%"
"12/22/2019","7.650","7.600","7.750","7.500","0.66%"
"12/15/2019","7.600","7.500","7.750","7.450","2.01%"
"12/08/2019","7.450","7.500","7.550","7.450","-0.67%"
"12/01/2019","7.500","7.500","7.650","7.450","0.00%"
"11/24/2019","7.500","7.500","7.650","7.400","0.00%"
"11/17/2019","7.500","7.600","7.700","7.470","-1.32%"
"11/10/2019","7.600","7.550","7.800","7.550","0.66%"
"11/03/2019","7.550","7.650","7.650","7.500","-0.66%"
"10/27/2019","7.600","7.650","7.650","7.500","-0.65%"
"10/20/2019","7.650","7.700","7.700","7.500","0.00%"
"10/13/2019","7.650","7.700","7.700","7.500","-0.65%"
"10/06/2019","7.700","7.650","7.800","7.600","0.00%"
"09/29/2019","7.700","7.650","7.750","7.550","0.65%"
"09/22/2019","7.650","7.700","7.800","7.600","-1.92%"
"09/15/2019","7.800","7.700","7.800","7.600","0.00%"
"09/08/2019","7.800","7.750","7.800","7.550","0.65%"
"09/01/2019","7.750","7.800","7.850","7.650","-0.64%"
"08/25/2019","7.800","7.700","7.850","7.600","1.30%"
