"Date","Price","Open","High","Low","Change %"
"07/01/2024","10.300","10.050","10.300","9.900","2.49%"
"06/01/2024","10.050","8.750","10.250","8.650","14.86%"
"05/01/2024","8.750","9.600","9.800","8.650","-8.85%"
"04/01/2024","9.600","10.250","10.250","9.600","-4.95%"
"03/01/2024","10.100","10.000","10.400","9.900","1.00%"
"02/01/2024","10.000","12.500","12.500","9.750","-20.00%"
"01/01/2024","12.500","14.550","14.550","12.050","-14.09%"
"12/01/2023","14.550","14.900","14.900","14.000","-2.35%"
"11/01/2023","14.900","16.000","16.250","14.800","-6.88%"
"10/01/2023","16.000","18.000","18.000","15.500","-6.43%"
"09/01/2023","17.100","19.000","19.000","17.100","-10.00%"
"08/01/2023","19.000","20.000","20.000","16.500","-5.00%"
"07/01/2023","20.000","24.000","24.000","18.000","-16.67%"
"06/01/2023","24.000","25.650","25.650","21.000","-7.69%"
"05/01/2023","26.000","26.000","26.250","24.500","0.00%"
"04/01/2023","26.000","25.000","26.000","24.500","4.00%"
"03/01/2023","25.000","29.750","30.000","25.000","-15.97%"
"02/01/2023","29.750","30.500","30.500","29.750","-2.46%"
"01/01/2023","30.500","31.250","32.000","30.000","-4.69%"
"12/01/2022","32.000","32.500","32.750","30.500","-3.03%"
"11/01/2022","33.000","32.000","33.750","32.000","1.54%"
"10/01/2022","32.500","29.250","34.000","29.250","11.11%"
"09/01/2022","29.250","29.250","33.000","29.250","0.00%"
"08/01/2022","29.250","30.000","30.500","27.000","-2.50%"
"07/01/2022","30.000","21.250","33.100","21.250","41.18%"
"06/01/2022","21.250","23.000","23.000","20.500","-7.61%"
"05/01/2022","23.000","21.000","25.000","21.000","9.52%"
"04/01/2022","21.000","12.100","23.000","12.100","71.43%"
"03/01/2022","12.250","8.600","12.250","8.600","42.44%"
"02/01/2022","8.600","8.500","8.800","8.450","-1.15%"
"01/01/2022","8.700","8.400","8.700","8.100","3.57%"
"12/01/2021","8.400","7.300","8.400","7.100","15.07%"
"11/01/2021","7.300","8.000","8.200","7.200","-8.75%"
"10/01/2021","8.000","6.900","8.700","6.700","15.94%"
"09/01/2021","6.900","5.950","6.900","5.900","15.97%"
